2019-11-28 19:54:57,"b'NEW PRICE- Transit City 2 Assignment Sale \xc2\xb7 Original price: $448,900. \xc2\xb7 20% already paid \xc2\xb7 Total sq ft: (638 sqft i\xe2\x80\xa6 https://t.co/FCK3hfefva'",54
2019-11-28 19:54:50,"b'Ski, spa and golf property for sale! Large studio apartment in Aspen Golf Resort, near Bansko.\nSize: 46 sq.m.\nPrice\xe2\x80\xa6 https://t.co/mbGgp9ylxl'",69
2019-11-28 19:54:47,b'RT @_iAlyssa_: \xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x92\x8a\xf0\x9f\x92\x8a\xf0\x9f\x92\x8a\xf0\x9f\x92\x8a\xf0\x9f\x92\x8aResearch the Getty Museum...a 940K sq ft fireproof pedophile fortress with 12 stories underground. \n\n2 mi\xe2\x80\xa6',898
2019-11-28 19:54:46,"b'RT @timhpcc: Labour will apparently plant 2 billion trees in the next 20 years. That works out at about 11,145 trees per hour. Based on the\xe2\x80\xa6'",12
2019-11-28 19:53:59,"b'RT @timhpcc: Labour will apparently plant 2 billion trees in the next 20 years. That works out at about 11,145 trees per hour. Based on the\xe2\x80\xa6'",191
2019-11-28 19:53:24,"b'RT @HeyTammyBruce: Neat, quiet view of an empty Times Sq earlier this morning while on my way to the studio \xf0\x9f\x98\x8d https://t.co/LqlSl3UdOI'",131
2019-11-28 19:53:09,b'@Westerns_SQ Sure',6235
2019-11-28 19:52:51,b'RT @_iAlyssa_: \xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x92\x8a\xf0\x9f\x92\x8a\xf0\x9f\x92\x8a\xf0\x9f\x92\x8a\xf0\x9f\x92\x8aResearch the Getty Museum...a 940K sq ft fireproof pedophile fortress with 12 stories underground. \n\n2 mi\xe2\x80\xa6',27613
2019-11-28 19:52:38,b'@Casey_Pup @mysticaquarium @GeorgiaAquarium @MarinelandCan @NOAA @MarineMammalCom @USDA @AWIOnline @IUCNCetaceanSG\xe2\x80\xa6 https://t.co/oNf2trAkU9',15996
2019-11-28 19:52:35,"b'RT @timhpcc: Labour will apparently plant 2 billion trees in the next 20 years. That works out at about 11,145 trees per hour. Based on the\xe2\x80\xa6'",1220
2019-11-28 19:52:03,b'@piitou7 Enjoy \xf0\x9f\x98\x8a',77
2019-11-28 19:51:46,"b""RT @8fca8b5354c1454: Adam doesn't even live in Calif. He and his family live in a 3240 sq ft home in Potomac, Md. With a landline. He only\xe2\x80\xa6""",4461
2019-11-28 19:51:27,b'Sikh man donates 900 sq ft land for building mosque in UP\xe2\x80\x99s Muzaffarnagar https://t.co/R4e38TzHHs',258
2019-11-28 19:50:50,b'RT @_iAlyssa_: \xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x92\x8a\xf0\x9f\x92\x8a\xf0\x9f\x92\x8a\xf0\x9f\x92\x8a\xf0\x9f\x92\x8aResearch the Getty Museum...a 940K sq ft fireproof pedophile fortress with 12 stories underground. \n\n2 mi\xe2\x80\xa6',3394
