2019-11-28 14:50:59,b'@tavleen_singh We understand your retaliation is because of your Pakistani son.',106
2019-11-28 14:50:26,"b""$AMZN  Amazon's cloud unit readies more powerful data center chip - sources - Reuters       $INTC $AMD.  https://t.co/q9BekY4uvg""",43296
2019-11-28 14:35:50,"b'""How I trade with only the 2-period RSI"" https://t.co/gwr5fTUH1O $SPY $QQQ $DJIA $DIA $GLD $SLV #stockmarket\xe2\x80\xa6 https://t.co/GawvblpYsw'",21252
2019-11-28 14:35:47,"b'RT @LegitReviews: Just confirmed that Chris Hook (Graphics and Visual Technologies Marketing Chief) &amp; Heather Lennon (Sr. Manager, Digital\xe2\x80\xa6'",118
2019-11-28 14:35:09,"b'Black Friday may not save retail\xe2\x80\x99s rough year, but the space still offers promising investments\xe2\x80\xa6 https://t.co/UC2Lazdyw3'",21252
2019-11-28 14:34:49,b'Big brands troll Elon Musk\xe2\x80\x99s Cybertruck with their own versions on Twitter https://t.co/KjzAwNc0hI $SPY $QQQ $DJIA\xe2\x80\xa6 https://t.co/uWltNQC88o',21252
2019-11-28 14:33:43,"b'Hong Kong is the biggest geopolitical threat to markets, economist warns https://t.co/uW8PPf5RuE $SPY $QQQ $DJIA\xe2\x80\xa6 https://t.co/uL6BTErNqn'",21252
2019-11-28 14:06:35,b'RT @sophiatwrites: AWS pours cash into custom silicon $ARMHF $AMZN $INTC $AMD https://t.co/VThY9O12vp',2652
2019-11-28 13:27:46,b'RT @sophiatwrites: AWS pours cash into custom silicon $ARMHF $AMZN $INTC $AMD https://t.co/VThY9O12vp',360
2019-11-28 13:23:29,b'RT @SwaggyStocks: Top stocks on trend MELTDOWN watchlist: $GOOG $GOOGL $AVGOP $JNJ $PG $BAC $T $UNH $INTC $VZ',2652
2019-11-28 13:23:29,b'RT @SentimEntropy: Positive sentiment on social media for $INTC. Moderate activity (likes/shares). https://t.co/qdeTb1cZ8P',2652
2019-11-28 13:20:44,b'AWS pours cash into custom silicon $ARMHF $AMZN $INTC $AMD https://t.co/VThY9O12vp',1299
2019-11-28 13:01:30,"b""Some of Silicon Valley's largest technology companies are enjoying much lower tax rates now than in 2017, before th\xe2\x80\xa6 https://t.co/GQeBKFRsYG""",16412
2019-11-28 13:00:04,b'Top stocks on trend MELTDOWN watchlist: $GOOG $GOOGL $AVGOP $JNJ $PG $BAC $T $UNH $INTC $VZ',897
2019-11-28 13:00:03,b'Positive sentiment on social media for $INTC. Moderate activity (likes/shares). https://t.co/qdeTb1cZ8P',32
2019-11-28 12:09:45,b'RT @BWUIC: $ARMHF $AMZN $INTC - AWS pours cash into custom silicon https://t.co/NgmlzlxPUW',2652
2019-11-28 12:03:27,b'$ARMHF $AMZN $INTC - AWS pours cash into custom silicon https://t.co/NgmlzlxPUW',1034
2019-11-28 11:55:17,b'@BhavikaKapoor5 @ShivSena @TajinderBagga He is only quoting Bala Saheb... Rest @ShivSena is history now. RIP\nShiv sena.',106
2019-11-28 11:25:01,b'AWS pours cash into custom silicon $ARMHF $AMZN $INTC $AMD https://t.co/5JZhsIkJ9Q',252
2019-11-28 11:22:01,b'$ARMHF $AMZN $INTC NEW ARTICLE : AWS pours cash into custom silicon https://t.co/yJsaciu0yN',82
2019-11-28 11:18:38,b'$ARMHF $AMZN $INTC - AWS pours cash into custom silicon https://t.co/i3rQe2LyMh',42598
2019-11-28 11:07:18,"b'@DeShobhaa Shobhaa De as writer and journalist - MY FOOT. She is a prestitute, slave to Pakistani Basit.'",106
2019-11-28 09:58:28,b'Intel $INTC and O2Micro International $OIIM Head to Head Comparison https://t.co/Z4pQ3UNKhf',1241
2019-11-28 09:23:47,b'$INTC in Downtrend: RSI indicator exits overbought zone. View odds for this and other indicators:\xe2\x80\xa6 https://t.co/CsfzOOVyi2',1242
2019-11-28 09:18:56,b'Getting Started in Value Investing by Charles S. Mizrahi: https://t.co/WRdZzPbjee $SPY $AAPL $INTC $IBM $WMT $DG $COST',1144
2019-11-28 07:20:40,"b'What we know about technical systems is that, as they mature, the value migrates to the bottlenecks that control th\xe2\x80\xa6 https://t.co/b74EkT1LxI'",60
