,date,text,followers,polarity,sentiment_confidence,clusters
27,2019-11-24 22:35:03,b'STEAL!\n\nPickup a huge XXL Extended Mouse Pad for $8.99!!\n\n*$3 off coupon on the page!!\n  \nhttps://t.co/NTUoKA8rlP https://t.co/E8n8P2H4i1',379974,0.4000000000000001,0.9,2
28,2019-11-24 22:35:03,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',21,0.7,0.4,0
29,2019-11-24 22:35:02,"b""Braids - Angel's Field   https://t.co/uFshlAsPXq   \nA journey for hope. https://t.co/ugqv0yushC""",23423,0.0,0.0,1
30,2019-11-24 22:35:02,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',578,0.7,0.4,0
31,2019-11-24 22:35:02,b'NewRelease! It was a fight to breathe. A FOREVER THING https://t.co/iZH40GkISW #ChristianReads #fiction #bynr',2404,0.0,0.0,1
32,2019-11-24 22:35:02,b'Microsoft Windows 10 Home 32-bit/64-bit 1 Lizenz | ! #windows #betriebssystem  via @blickwinkel1 @verona_pooth1\xe2\x80\xa6 https://t.co/GK96LTRJH4',17385,0.0,0.0,1
33,2019-11-24 22:35:02,b'RT @LollyDaskal: Leadership is a mindset in action.\n\nLEARN WHY: #1 National\xc2\xa0#Bestseller\xc2\xa0&gt;&gt;&gt; \xe2\x80\x9cThe Leadership Gap\xe2\x80\x9d By\xc2\xa0@LollyDaskal\xc2\xa0\xc2\xa0https://t\xe2\x80\xa6',2026,0.0,0.0,1
34,2019-11-24 22:35:01,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',69,0.7,0.4,0
35,2019-11-24 22:34:56,"b'RT @TodaysSteals: STEAL: Apple MacBook Air (13-inch, 8GB RAM, 128GB SSD Storage) - Silver   \n1 Day Sale $679 SHIPPED 32% off   Shop Here: h\xe2\x80\xa6'",246,0.0,0.0,1
36,2019-11-24 22:34:55,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',387,0.7,0.4,0
37,2019-11-24 22:34:54,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',103,0.7,0.4,0
38,2019-11-24 22:34:53,b'RT @Anglican_Pastor: Want to learn how to celebrate #Advent with family and friends? Buy a copy of #AThrillofHope by Ashley Wallace! https:\xe2\x80\xa6',1748,0.0,0.0,1
39,2019-11-24 22:34:45,"b""@thempstead Hi, Tim. We're sorry to hear that you haven't received your order yet. We can understand your frustrati\xe2\x80\xa6 https://t.co/sygAq0Puew""",251368,-0.5,1.0,2
