,date,text,followers,polarity,sentiment_confidence
0,2019-11-28 19:48:37,b'$RMSL 0087?! 52WKH $1.20?! Ur crazy2 ignore #BIOTECH\xf0\x9f\x93\x88\n$RDUS $UTHR $PTLA $ALDR $OPK $GLPG $ARWR $ONCS $MTEM $SGYP\xe2\x80\xa6 https://t.co/JiLsJRz7Tp',16938,0.0,0.0
1,2019-11-28 19:47:23,"b""$RMSL 0088? U CAN'T B SERIOUS. OVERSOLD #BIOTECH can't b OVERLOOKED $wmtm $vgtl $adtm $liga $ssft $coho $frlf $bzgt\xe2\x80\xa6 https://t.co/RFs89v67gR""",16938,-0.3333333333333333,0.6666666666666666
2,2019-11-28 19:45:55,b'$RMSL 009?! 52WKH $1.20. Why do INSIDERS own 47%? $AAPL $GOOG $AMZN $QQQ $MSFT $TSLA $AMD $NVDA $QCOM $NFLX $INTC\xe2\x80\xa6 https://t.co/pXCa8S1IOf',16938,0.6,1.0
3,2019-11-28 19:35:46,"b'RT @ugetfo: ETFO Intermediate Conference 2020, January 24-25, Toronto. The theme of the conference is recognizing the diverse nature and ne\xe2\x80\xa6'",866,0.0,0.0
4,2019-11-28 19:27:06,b'A Beginner\xe2\x80\x99s Guide to Stock Investing. \n\nFor FREE today.\n\nOn Amazon. \n\nLink: https://t.co/xLvykMmxU0\n\n$FB $GOOGL\xe2\x80\xa6 https://t.co/d3HcfUYg3s',42,0.4,0.8
5,2019-11-28 19:21:49,"b'ETFO Intermediate Conference 2020, January 24-25, Toronto. The theme of the conference is recognizing the diverse n\xe2\x80\xa6 https://t.co/IXwfv7QpU5'",935,0.0,0.0
6,2019-11-28 19:19:02,b'Intel reveals its smart home tech impact at CES https://t.co/16SaUIOn1T $INTC #stocks #stockmarket',2427,0.21428571428571427,0.6428571428571429
7,2019-11-28 18:52:02,"b'9 of 11 U.S. Stock Market sectors trade in Confirmed Normal Uptrend. Energy Sector lags. AAPL, ADSK, EBAY, GS, JPM,\xe2\x80\xa6 https://t.co/ANtNdtrM2P'",2,0.275,0.825
8,2019-11-28 18:30:06,"b'@bitmagicio @jonmasters Simply claiming ""all big companies do this"" shows that you\'re not interested in analyzing t\xe2\x80\xa6 https://t.co/6DPUCXTg2u'",201,-0.041666666666666664,0.3190476190476191
9,2019-11-28 18:29:00,b'Intel Unveils &amp;#39;Breakthrough&amp;#39; Quantum Computer https://t.co/LPK59CPPNd $INTC #stocks #stockmarket',2427,0.0,0.0
10,2019-11-28 18:26:19,b'A Beginner\xe2\x80\x99s Guide to Stock Investing. \n\nFor FREE today.\n\nOn Amazon. \n\nLink: https://t.co/xLvykMmxU0\n\n$FB $GOOGL\xe2\x80\xa6 https://t.co/jTNG4nWwqi',42,0.4,0.8
